Date,Product,Region,Units Sold,Revenue
2023-01-01,Product A,North,10,1000
2023-01-08,Product B,South,15,1500
2023-01-15,Product C,East,8,800
2023-01-22,Product D,West,12,1200
2023-01-29,Product E,Central,20,2000
2023-02-05,Product A,North,10,1000
2023-02-12,Product B,South,15,1500
2023-02-19,Product C,East,8,800
2023-02-26,Product D,West,12,1200
2023-03-05,Product E,Central,20,2000
2023-03-12,Product A,North,10,1000
2023-03-19,Product B,South,15,1500
2023-03-26,Product C,East,8,800
2023-04-02,Product D,West,12,1200
2023-04-09,Product E,Central,20,2000
2023-04-16,Product A,North,10,1000
2023-04-23,Product B,South,15,1500
2023-04-30,Product C,East,8,800
2023-05-07,Product D,West,12,1200
2023-05-14,Product E,Central,20,2000
2023-05-21,Product A,North,10,1000
2023-05-28,Product B,South,15,1500
2023-06-04,Product C,East,8,800
2023-06-11,Product D,West,12,1200
2023-06-18,Product E,Central,20,2000
2023-06-25,Product A,North,10,1000
2023-07-02,Product B,South,15,1500
2023-07-09,Product C,East,8,800
2023-07-16,Product D,West,12,1200
2023-07-23,Product E,Central,20,2000
2023-07-30,Product A,North,10,1000
2023-08-06,Product B,South,15,1500
2023-08-13,Product C,East,8,800
2023-08-20,Product D,West,12,1200
2023-08-27,Product E,Central,20,2000
2023-09-03,Product A,North,10,1000
2023-09-10,Product B,South,15,1500
2023-09-17,Product C,East,8,800
2023-09-24,Product D,West,12,1200
2023-10-01,Product E,Central,20,2000
2023-10-08,Product A,North,10,1000
2023-10-15,Product B,South,15,1500
2023-10-22,Product C,East,8,800
2023-10-29,Product D,West,12,1200
2023-11-05,Product E,Central,20,2000
2023-11-12,Product A,North,10,1000
2023-11-19,Product B,South,15,1500
2023-11-26,Product C,East,8,800
2023-12-03,Product D,West,12,1200
2023-12-10,Product E,Central,20,2000
2023-12-17,Product A,North,10,1000
2023-12-24,Product B,South,15,1500
2023-12-31,Product C,East,8,800
2024-01-07,Product D,West,12,1200
2024-01-14,Product E,Central,20,2000
2024-01-21,Product A,North,10,1000
2024-01-28,Product B,South,15,1500
2024-02-04,Product C,East,8,800
2024-02-11,Product D,West,12,1200
2024-02-18,Product E,Central,20,2000
2024-02-25,Product A,North,10,1000
2024-03-03,Product B,South,15,1500
2024-03-10,Product C,East,8,800
2024-03-17,Product D,West,12,1200
2024-03-24,Product E,Central,20,2000
2024-03-31,Product A,North,10,1000
2024-04-07,Product B,South,15,1500
2024-04-14,Product C,East,8,800
2024-04-21,Product D,West,12,1200
2024-04-28,Product E,Central,20,2000
2024-05-05,Product A,North,10,1000
2024-05-12,Product B,South,15,1500
2024-05-19,Product C,East,8,800
2024-05-26,Product D,West,12,1200
2024-06-02,Product E,Central,20,2000
2024-06-09,Product A,North,10,1000
2024-06-16,Product B,South,15,1500
2024-06-23,Product C,East,8,800
2024-06-30,Product D,West,12,1200
2024-07-07,Product E,Central,20,2000
2024-07-14,Product A,North,10,1000
2024-07-21,Product B,South,15,1500
2024-07-28,Product C,East,8,800
2024-08-04,Product D,West,12,1200
2024-08-11,Product E,Central,20,2000
2024-08-18,Product A,North,10,1000
2024-08-25,Product B,South,15,1500
2024-09-01,Product C,East,8,800
2024-09-08,Product D,West,12,1200
2024-09-15,Product E,Central,20,2000
2024-09-22,Product A,North,10,1000
2024-09-29,Product B,South,15,1500
2024-10-06,Product C,East,8,800
2024-10-13,Product D,West,12,1200
2024-10-20,Product E,Central,20,2000
2024-10-27,Product A,North,10,1000
2024-11-03,Product B,South,15,1500
2024-11-10,Product C,East,8,800
2024-11-17,Product D,West,12,1200
2024-11-24,Product E,Central,20,2000
